只好,1
优异,1
板书,1
静静地,5
唱歌,2
偷逃,1
七岁,1
聋人,3
一手,2
挨打,2
多少,1
亲吻,1
唯一,1
对不起,1
作客,1
成排,1
健全,1
收获,1
大喊大叫,1
全班同学,1
平日,1
好好学习,1
相望,1
小脚,1
欢快,1
学后,1
一早,1
班里,2
鼓起,1
平静,1
很远,1
第一名,1
老师,27
起来,4
一座,1
为啥,1
整洁,1
门锁,1
尽管,1
往常,1
性情,1
时光,1
禁不住,1
角落里,1
影响,1
两脚,1
比起,1
硬要,1
告到,1
泥浆,1
考入,1
同年,1
小鱼,3
天牛,1
害怕,1
出门,1
倔强,1
怏怏,1
长得,1
他们,13
回头,1
好事,1
符合,2
告诉,3
记住,1
几颗,1
不如,1
蒙眬,1
出现,1
闭上眼睛,1
渐渐,1
获得,1
那里,1
显得,1
犹如,1
看不到,1
自从,1
第一份,1
花样,1
后来,2
反而,1
离家,1
似的,1
地瓜,1
发脾气,1
树叶,1
滴落,2
这下,2
亲切,1
突然,1
坐在,2
泡泡,1
2008,1
干扰,1
由亮,1
地里,1
齐涮,1
不要,2
关不住,1
一首,1
全班,1
那时,2
邻村,1
螳螂,1
水浪,1
一直,6
万分,1
一躬,1
调皮,1
留下,1
同学,8
草丛,1
追求,1
免不了,1
发高烧,1
然后,1
布满,1
路上,1
除了,1
泥土,1
抚养,1
不过,1
小学校长,1
我脚,1
大门,1
脱缰,1
办法,1
长大,5
阿姨,5
关注,1
感觉,2
一份,2
回来,2
记得,2
傻笑,1
月亮,1
走出,3
后腰,1
结束,1
不肯,3
看得出,2
是因为,1
逃跑,1
爬进,1
开辟,1
全然不顾,1
严严,1
千里,1
在家,3
出去,1
一次,5
个个,1
默默,3
由绿变,1
一边,1
一滑,1
许多,2
什么,9
恰恰,1
挂满,1
一脸,1
哪压,1
放学,1
稻草,2
在我看来,1
可能,1
乖乖,2
喜讯,1
烧着,1
真使,1
睡觉,1
回家,6
里面,1
一个,11
座位,1
一晃,2
大吼大叫,1
记性,1
最后,2
完后,1
这些,1
两片,1
细心,1
裙子,4
内心深处,1
收留,1
两个,2
头像,1
20,1
直接,1
耳边,1
刺激,1
木马,4
贪玩,4
经历,1
下腰,1
最美,1
招风耳,1
边看边听,1
题目,1
上面,1
怀疑,1
已有,1
外面,4
脸上,6
盼望着,1
下决心,1
带到,1
赔不是,1
太大,1
发现,3
我家,3
伤心,1
一家人,2
河里,1
一百分,1
提问,1
耳朵,4
一人,1
一篇,2
玩伴,1
反哺,1
听听,7
身子,1
幼儿园,6
非常,2
还是,3
电视新闻,1
政治,1
就是,4
零食,1
竹竿,1
刚强,1
泪珠,1
水面,3
走后,1
立马,1
这篇,1
面对,1
经常,3
自由,2
沉寂,1
带我去,1
门外,1
样子,1
孝星,1
一张,1
不全是,1
忽然,1
村里,1
肯定,2
学校,3
心里,2
家里,5
事后,1
金风送爽,1
跳来跳去,2
孩子,6
课本,1
学习,2
工作,1
身影,1
以前,1
欣慰,1
800,1
自卑,1
面前,1
那天,1
这种,1
脾气,1
看电视,1
全村人,1
什么样,2
越来越,1
访问,1
背后,1
毕竟,2
